,id,object_name,chain,object_type,address,number,street
19,153644,американская лаборатория десертов,False,кафе,"город москва, филипповский переулок, дом 15/5",20,филипповский переулок
61,21214,столовая,False,столовая,"город москва, бабаевская улица, дом 3",90,бабаевская улица
69,22139,хуанхэ,False,ресторан,"город москва, 1-й балтийский переулок, дом 3/25",60,1-й балтийский переулок
81,25833,азербайджан,False,ресторан,"город москва, улица демьяна бедного, дом 4",180,улица демьяна бедного
131,150881,вгик,False,столовая,"город москва, будайская улица, дом 3",45,будайская улица
150,24155,советские времена,True,кафе,"город москва, варсонофьевский переулок, дом 6",82,варсонофьевский переулок
179,24646,угол,False,кафе,"город москва, верхняя улица, дом 3, корпус 2",71,верхняя улица
181,20632,бар в фитнес клубе,False,бар,"город москва, глазовский переулок, дом 5",4,глазовский переулок
228,25090,ооо «театро»,False,кафе,"город москва, воротниковский переулок, дом 11, строение 1",35,воротниковский переулок
235,25487,сущевский дворик,False,кафе,"город москва, 2-й вышеславцев переулок, дом 17",48,2-й вышеславцев переулок
241,19821,столовая гбпоу зкно,False,буфет,"город москва, гвардейская улица, дом 15, корпус 1",50,гвардейская улица
251,27658,при школе 1294,False,столовая,"город москва, глебовская улица, дом 10",240,глебовская улица
308,27591,столовая школы 1254,False,столовая,"город москва, улица девятая рота, дом 14",160,улица девятая рота
350,68203,ньокки,True,ресторан,"город москва, улица генерала ермолова, дом 4",60,улица генерала ермолова
352,25330,хижина,True,ресторан,"город москва, улица жебрунова, дом 4",120,улица жебрунова
354,28847,столовая спецшкола 9,False,столовая,"город москва, улица бориса жигуленкова, дом 15",80,улица бориса жигуленкова
359,22376,тратория,False,кафе,"город москва, улица жуковского, дом 5",50,улица жуковского
437,20733,пивной бар элефант,False,бар,"город москва, 2-й колобовский переулок, дом 12",55,2-й колобовский переулок
463,152097,столовая при гбоу школа 171,False,столовая,"город москва, кооперативная улица, дом 2, корпус 13",24,кооперативная улица
520,79517,прованс,False,ресторан,"город москва, 1-й обыденский переулок, дом 9/12",40,1-й обыденский переулок
522,79562,фидан,False,ресторан,"город москва, кунцевская улица, дом 10",81,кунцевская улица
538,28857,кп мэи,False,столовая,"город москва, улица лапина, дом 3",240,улица лапина
540,20804,волконский,True,кулинария,"город москва, малый левшинский переулок, дом 14/9, строение 1",16,малый левшинский переулок
627,24319,гивисациви,False,кафе,"город москва, лужнецкий проезд, дом 1",95,лужнецкий проезд
642,153381,столовая при гбоу школа 57,False,столовая,"город москва, малый знаменский переулок, дом 7/10, строение 2",36,малый знаменский переулок
711,21002,буфет техникума мпэ,False,буфет,"город москва, мирской переулок, дом 5",30,мирской переулок
713,26252,ресторан «граф орлов»,False,ресторан,"город москва, 2-й верхний михайловский проезд, дом 2",90,2-й верхний михайловский проезд
737,24654,журфак,False,кафе,"город москва, большой афанасьевский переулок, дом 3, строение 3",49,большой афанасьевский переулок
742,24601,хинкаль палас,False,кафе,"город москва, нагорный бульвар, дом 5, корпус 1",40,нагорный бульвар
756,137544,антикварный boutique & bar,False,бар,"город москва, звонарский переулок, дом 5",30,звонарский переулок
757,69302,union jack,False,бар,"город москва, нижний кисельный переулок, дом 3, строение 1",30,нижний кисельный переулок
779,124526,кафе дада,False,кафе,"город москва, 1-й новокузнецкий переулок, дом 5-7",30,1-й новокузнецкий переулок
783,27483,гбоу школа № 1352,False,столовая,"город москва, новосибирская улица, дом 8",110,новосибирская улица
895,20048,пицца-фабрика,False,кафе,"город москва, улица пивченкова, дом 7",12,улица пивченкова
899,23980,сказочный двор,False,кафе,"город москва, платовская улица, дом 4",45,платовская улица
908,25694,кафе,False,кафетерий,"город москва, 3-й проезд подбельского, дом 22, корпус 3",16,3-й проезд подбельского
910,156679,cezve coffee,False,кафе,"город москва, подсосенский переулок, дом 8, строение 2",20,подсосенский переулок
990,20381,трапезная,False,столовая,"город москва, улица рогожский поселок, дом 3",10,улица рогожский поселок
1062,141385,гранатовый сад,False,ресторан,"город москва, 1-й сетуньский проезд, дом 10",80,1-й сетуньский проезд
1113,22203,вуден бор,False,кафе,"город москва, 2-й стрелецкий проезд, дом 7",40,2-й стрелецкий проезд
1147,29423,школа апогей,False,буфет,"город москва, таганрогская улица, дом 7",150,таганрогская улица
1163,21439,буфет при гуп «объединенный комбинат школьного питания»,False,столовая,"город москва, тенистый проезд, дом 8",98,тенистый проезд
1219,146370,амбарчик,False,кафе,"город москва, малый николопесковский переулок, дом 9/1, строение 2",20,малый николопесковский переулок
1273,21569,буфет школы 694,False,буфет,"город москва, 2-й хуторской переулок, дом 4/13",75,2-й хуторской переулок
1404,87543,кафе «one teaspoon»,False,кафе,"город москва, яузский бульвар, дом 14/8",16,яузский бульвар
1426,82532,будайский дворик,False,ресторан,"город москва, будайский проезд, дом 8",98,будайский проезд
1432,20865,буфет при общежитии,False,буфет,"город москва, международная улица, дом 15",8,международная улица
1456,134075,матрешка,False,кафе,"город москва, новолучанская улица, дом 22, строение 1",17,новолучанская улица
1466,25989,алиби,False,ресторан,"город москва, ащеулов переулок, дом 9",85,ащеулов переулок
1537,20415,чашка,False,бар,"город москва, улица академика семенова, дом 3",40,улица академика семенова
1574,157025,улисс паб,False,бар,"город москва, кривоарбатский переулок, дом 16/22",100,кривоарбатский переулок
1592,26993,сосны,False,ресторан,"город москва, 1-я линия хорошевского серебряного бора, домовладение 10, строение 1",30,1-я линия хорошевского серебряного бора
1633,25165,кафе-пиццерия,False,кафе,"город москва, 1-й зачатьевский переулок, дом 4",50,1-й зачатьевский переулок
