,Unnamed: 0,id,object_name,chain,object_type,address,number,street,Url,Url_With_Coordinates
0,19,153644,американская лаборатория десертов,False,кафе,"город москва, филипповский переулок, дом 15/5",20,филипповский переулок,"https://www.google.com/maps/search/город москва, филипповский переулок, дом 15/5",https://maps.google.com/maps/api/staticmap?center=55.750636%2C37.5983678&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Iy5bmTILcnVdfPfMfnq7sHmZZfk
1,61,21214,столовая,False,столовая,"город москва, бабаевская улица, дом 3",90,бабаевская улица,"https://www.google.com/maps/search/город москва, бабаевская улица, дом 3",https://maps.google.com/maps/api/staticmap?center=55.790725%2C37.6889949&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=nDXtUyqs1uvuJuNSNRY2NmihHVI
2,69,22139,хуанхэ,False,ресторан,"город москва, 1-й балтийский переулок, дом 3/25",60,1-й балтийский переулок,"https://www.google.com/maps/search/город москва, 1-й балтийский переулок, дом 3/25",https://maps.google.com/maps/api/staticmap?center=55.8100359%2C37.5182225&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=3Q2Rv-yMVm7Z4bUhgnEn1sa-T9s
3,81,25833,азербайджан,False,ресторан,"город москва, улица демьяна бедного, дом 4",180,улица демьяна бедного,"https://www.google.com/maps/search/город москва, улица демьяна бедного, дом 4",https://maps.google.com/maps/api/staticmap?center=55.7698802%2C37.4869344&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=QrN_2q1AzoEHlweOZinvEn4K4RU
4,131,150881,вгик,False,столовая,"город москва, будайская улица, дом 3",45,будайская улица,"https://www.google.com/maps/search/город москва, будайская улица, дом 3",https://maps.google.com/maps/api/staticmap?center=55.8320843%2C37.6652195&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=arZHx09SE3qwUBxm5sHqVRoOuQg
5,150,24155,советские времена,True,кафе,"город москва, варсонофьевский переулок, дом 6",82,варсонофьевский переулок,"https://www.google.com/maps/search/город москва, варсонофьевский переулок, дом 6",https://maps.google.com/maps/api/staticmap?center=55.7631989%2C37.625664&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=7esayaWB8YC8OEAXk25xricFdQU
6,179,24646,угол,False,кафе,"город москва, верхняя улица, дом 3, корпус 2",71,верхняя улица,"https://www.google.com/maps/search/город москва, верхняя улица, дом 3, корпус 2",https://maps.google.com/maps/api/staticmap?center=55.776858%2C37.574916&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=GnLDu8yY6Pf3KCum4-5kOPAVdxA
7,181,20632,бар в фитнес клубе,False,бар,"город москва, глазовский переулок, дом 5",4,глазовский переулок,"https://www.google.com/maps/search/город москва, глазовский переулок, дом 5",https://maps.google.com/maps/api/staticmap?center=55.743944%2C37.5871799&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=s4WzZLCQ3Dnu8sv-QFY9JFKxiPk
8,228,25090,ооо «театро»,False,кафе,"город москва, воротниковский переулок, дом 11, строение 1",35,воротниковский переулок,"https://www.google.com/maps/search/город москва, воротниковский переулок, дом 11, строение 1",https://maps.google.com/maps/api/staticmap?center=55.770377%2C37.6013589&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=41hwzcxTNnPD6gaOe4kx7zvSVBQ
9,235,25487,сущевский дворик,False,кафе,"город москва, 2-й вышеславцев переулок, дом 17",48,2-й вышеславцев переулок,"https://www.google.com/maps/search/город москва, 2-й вышеславцев переулок, дом 17",https://maps.google.com/maps/api/staticmap?center=55.7905754%2C37.6059331&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=LwIA5aCHCEbZRGgICotoZu2UL4M
