,id,object_name,chain,object_type,address,number,street,Url
151,155973,кафе «андерсон»,True,кафе,"город москва, варшавское шоссе, дом 2",150,варшавское шоссе,"https://www.google.com/maps/search/город москва, варшавское шоссе, дом 2"
152,23618,кафе «subway»,True,кафе,"город москва, варшавское шоссе, дом 7, корпус 1",36,варшавское шоссе,"https://www.google.com/maps/search/город москва, варшавское шоссе, дом 7, корпус 1"
153,155852,кафе «ламаджо»,False,кафе,"город москва, варшавское шоссе, дом 29",30,варшавское шоссе,"https://www.google.com/maps/search/город москва, варшавское шоссе, дом 29"
154,152556,шаурма в пите,False,фаст-фуд,"город москва, варшавское шоссе, дом 72, корпус 2",0,варшавское шоссе,"https://www.google.com/maps/search/город москва, варшавское шоссе, дом 72, корпус 2"
155,120658,выпечка,False,кафетерий,"город москва, варшавское шоссе, дом 100",2,варшавское шоссе,"https://www.google.com/maps/search/город москва, варшавское шоссе, дом 100"
156,26279,ресторан «макдоналдс»,True,кафе,"город москва, варшавское шоссе, дом 143а",70,варшавское шоссе,"https://www.google.com/maps/search/город москва, варшавское шоссе, дом 143а"
165,141687,пироговая рогова,False,кафе,"город москва, проспект вернадского, дом 9/10",42,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 9/10"
166,148853,кафе контдитерская кузина,False,кафе,"город москва, проспект вернадского, дом 11/19",5,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 11/19"
167,149149,суши wok,True,кафе,"город москва, проспект вернадского, дом 11/19",8,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 11/19"
168,128511,аморе,False,кафе,"город москва, проспект вернадского, дом 11/19",10,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 11/19"
169,24875,шоколад,True,кафе,"город москва, проспект вернадского, дом 11/19",50,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 11/19"
170,143755,тирольские пироги,True,кулинария,"город москва, проспект вернадского, дом 13",10,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 13"
172,23763,столовая «оп мгу кп мгу столовая 12»,False,столовая,"город москва, проспект вернадского, дом 37",240,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 37"
173,19716,буфет,False,буфет,"город москва, проспект вернадского, дом 86, строение 1",40,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 86, строение 1"
174,69990,панорама 93,False,ресторан,"город москва, проспект вернадского, дом 93",60,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 93"
175,20147,кафе «пекарня «мюнгер»»,False,кафе,"город москва, проспект вернадского, дом 97, корпус 1",30,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 97, корпус 1"
176,19989,гудбар,False,кафе,"город москва, проспект вернадского, дом 97, корпус 1",40,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 97, корпус 1"
177,19761,бар «фитнес-бар»,False,бар,"город москва, проспект вернадского, дом 103, корпус 1",24,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 103, корпус 1"
178,19700,кафе «театр на юго-западе»,False,кафе,"город москва, проспект вернадского, дом 125",20,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 125"
295,22943,шёлковый путь,False,ресторан,"город москва, кутузовский проспект, дом 71",90,кутузовский проспект,"https://www.google.com/maps/search/город москва, кутузовский проспект, дом 71"
525,69895,кристиан,False,ресторан,"город москва, кутузовский проспект, дом 2/1, корпус 1а",96,кутузовский проспект,"https://www.google.com/maps/search/город москва, кутузовский проспект, дом 2/1, корпус 1а"
526,20418,диорама бар,False,бар,"город москва, кутузовский проспект, дом 2/1, корпус 1а",3,кутузовский проспект,"https://www.google.com/maps/search/город москва, кутузовский проспект, дом 2/1, корпус 1а"
527,27025,клубный ресторан,False,ресторан,"город москва, кутузовский проспект, дом 2/1, корпус 1а",12,кутузовский проспект,"https://www.google.com/maps/search/город москва, кутузовский проспект, дом 2/1, корпус 1а"
528,26346,pinocchio,False,ресторан,"город москва, кутузовский проспект, дом 4/2",100,кутузовский проспект,"https://www.google.com/maps/search/город москва, кутузовский проспект, дом 4/2"
529,143564,"кафе-бутик posh up, babe",False,кафе,"город москва, кутузовский проспект, дом 8",12,кутузовский проспект,"https://www.google.com/maps/search/город москва, кутузовский проспект, дом 8"
530,69884,кофемания,True,кафе,"город москва, кутузовский проспект, дом 17",60,кутузовский проспект,"https://www.google.com/maps/search/город москва, кутузовский проспект, дом 17"
531,23984,пион,False,кафе,"город москва, кутузовский проспект, дом 21",40,кутузовский проспект,"https://www.google.com/maps/search/город москва, кутузовский проспект, дом 21"
