,Unnamed: 0,id,object_name,chain,object_type,address,number,street,Url,Url_With_Coordinates
0,151,155973,кафе «андерсон»,True,кафе,"город москва, варшавское шоссе, дом 2",150,варшавское шоссе,"https://www.google.com/maps/search/город москва, варшавское шоссе, дом 2",https://maps.google.com/maps/api/staticmap?center=55.699949%2C37.619977&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=OaOLdTUXWDrnELFG8fRxREbJXNA
1,152,23618,кафе «subway»,True,кафе,"город москва, варшавское шоссе, дом 7, корпус 1",36,варшавское шоссе,"https://www.google.com/maps/search/город москва, варшавское шоссе, дом 7, корпус 1",https://maps.google.com/maps/api/staticmap?center=55.700888%2C37.622402&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Pi0TVpXzOVT3z6Fq3rifRxiJlgc
2,153,155852,кафе «ламаджо»,False,кафе,"город москва, варшавское шоссе, дом 29",30,варшавское шоссе,"https://www.google.com/maps/search/город москва, варшавское шоссе, дом 29",https://maps.google.com/maps/api/staticmap?center=55.6927223%2C37.6223415&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=sMY_YAxX5bnx64Tg8FZ2ACzXg18
3,154,152556,шаурма в пите,False,фаст-фуд,"город москва, варшавское шоссе, дом 72, корпус 2",0,варшавское шоссе,"https://www.google.com/maps/search/город москва, варшавское шоссе, дом 72, корпус 2",https://maps.google.com/maps/api/staticmap?center=55.656813%2C37.618777&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=87X9Ycq6jakjExtIC3ZKry8r5gM
4,155,120658,выпечка,False,кафетерий,"город москва, варшавское шоссе, дом 100",2,варшавское шоссе,"https://www.google.com/maps/search/город москва, варшавское шоссе, дом 100",https://maps.google.com/maps/api/staticmap?center=55.645996%2C37.6189016&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=pDnhK9aSrYrh2CjMBegSk_tsXqs
5,156,26279,ресторан «макдоналдс»,True,кафе,"город москва, варшавское шоссе, дом 143а",70,варшавское шоссе,"https://www.google.com/maps/search/город москва, варшавское шоссе, дом 143а",https://maps.google.com/maps/api/staticmap?center=55.584249%2C37.598982&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=leZMFdpBrRkm8_g5fD7idt9cOCc
6,165,141687,пироговая рогова,False,кафе,"город москва, проспект вернадского, дом 9/10",42,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 9/10",https://maps.google.com/maps/api/staticmap?center=55.6912847%2C37.5332841&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=3UW0OzMVjV6KKju9o1T0Ps8xlU0
7,166,148853,кафе контдитерская кузина,False,кафе,"город москва, проспект вернадского, дом 11/19",5,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 11/19",https://maps.google.com/maps/api/staticmap?center=55.6888621%2C37.5290425&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=p14L82A5wOT-bZ0T3WusrtZwPqA
8,167,149149,суши wok,True,кафе,"город москва, проспект вернадского, дом 11/19",8,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 11/19",https://maps.google.com/maps/api/staticmap?center=55.6888621%2C37.5290425&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=p14L82A5wOT-bZ0T3WusrtZwPqA
9,168,128511,аморе,False,кафе,"город москва, проспект вернадского, дом 11/19",10,проспект вернадского,"https://www.google.com/maps/search/город москва, проспект вернадского, дом 11/19",https://maps.google.com/maps/api/staticmap?center=55.6888621%2C37.5290425&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=p14L82A5wOT-bZ0T3WusrtZwPqA
